S089_003_00000036.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.Rank1,Answer.Rank2,Answer.Rank3,Answer.sentiment,Approve,Reject
,Worker ,Rank1,Rank2,Rank3,Confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Anger,None,None,Confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Anger,Disgust,None,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Sadness,None,None,Confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,Sadness,Fear,None,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,Anger,Surprise,Fear,Confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,Disgust,Sadness,Happiness,Confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Anger,Surprise,None,Confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Sadness,Disgust,Fear,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,Disgust,Anger,Fear,Very Confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emotions,Votes (Rank1),Normalized Votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutral,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anger,4,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happiness,3,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surprise,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disgust,2,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadness,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fear,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
